Phyla,Receptor,Unique_species
Cnidaria,OXGR1,0
Placozoa,OXGR1,0
Mammalia,P2RY10,202
Archosauria,P2RY10,272
Lepidosauria,P2RY10,24
Testudines,P2RY10,15
Amphibia,P2RY10,14
Dipnomorpha,P2RY10,1
Coelacanthiformes,P2RY10,1
Actinopterygii,P2RY10,139
Chondrichthyes,P2RY10,9
Cyclostomata,P2RY10,0
Tunicata,P2RY10,0
Cephalochordata,P2RY10,0
Hemichordata,P2RY10,0
Echinodermata,P2RY10,0
Annelida,P2RY10,0
Mollusca,P2RY10,0
Arthropoda,P2RY10,0
Cnidaria,P2RY10,0
Placozoa,P2RY10,0
Mammalia,PTAFR/LIKE,69
Archosauria,PTAFR/LIKE,137
Lepidosauria,PTAFR/LIKE,30
Testudines,PTAFR/LIKE,12
Amphibia,PTAFR/LIKE,3
Dipnomorpha,PTAFR/LIKE,1
Coelacanthiformes,PTAFR/LIKE,1
Actinopterygii,PTAFR/LIKE,6
Chondrichthyes,PTAFR/LIKE,20
Cyclostomata,PTAFR/LIKE,0
Tunicata,PTAFR/LIKE,0
Cephalochordata,PTAFR/LIKE,0
Hemichordata,PTAFR/LIKE,0
Echinodermata,PTAFR/LIKE,0
Annelida,PTAFR/LIKE,0
Mollusca,PTAFR/LIKE,0
Arthropoda,PTAFR/LIKE,0
Cnidaria,PTAFR/LIKE,0
Placozoa,PTAFR/LIKE,0
Mammalia,PTAFR,215
Archosauria,PTAFR,397
Lepidosauria,PTAFR,20
Testudines,PTAFR,12
Amphibia,PTAFR,12
Dipnomorpha,PTAFR,1
Coelacanthiformes,PTAFR,1
Actinopterygii,PTAFR,166
Chondrichthyes,PTAFR,6
Cyclostomata,PTAFR,0
Tunicata,PTAFR,0
Cephalochordata,PTAFR,0
Hemichordata,PTAFR,0
Echinodermata,PTAFR,0
Annelida,PTAFR,0
Mollusca,PTAFR,0
Arthropoda,PTAFR,0
Cnidaria,PTAFR,0
Placozoa,PTAFR,0
Mammalia,PTGDR2,189
Archosauria,PTGDR2,0
Lepidosauria,PTGDR2,0
Testudines,PTGDR2,0
Amphibia,PTGDR2,3
Dipnomorpha,PTGDR2,1
Coelacanthiformes,PTGDR2,1
Actinopterygii,PTGDR2,159
Chondrichthyes,PTGDR2,0
Cyclostomata,PTGDR2,0
Tunicata,PTGDR2,0
Cephalochordata,PTGDR2,0
Hemichordata,PTGDR2,0
Echinodermata,PTGDR2,0
Annelida,PTGDR2,0
Mollusca,PTGDR2,0
Arthropoda,PTGDR2,0
Cnidaria,PTGDR2,0
Placozoa,PTGDR2,0
Mammalia,PTGDR,188
Archosauria,PTGDR,112
Lepidosauria,PTGDR,16
Testudines,PTGDR,13
Amphibia,PTGDR,11
Dipnomorpha,PTGDR,1
Coelacanthiformes,PTGDR,1
Actinopterygii,PTGDR,10
Chondrichthyes,PTGDR,9
Cyclostomata,PTGDR,0
Tunicata,PTGDR,0
Cephalochordata,PTGDR,0
Hemichordata,PTGDR,0
Echinodermata,PTGDR,0
Annelida,PTGDR,0
Mollusca,PTGDR,0
Arthropoda,PTGDR,0
Cnidaria,PTGDR,0
Placozoa,PTGDR,0
Cyclostomata,PTGDR|PTGIR,1
Mammalia,PTGER1,221
Archosauria,PTGER1,2
Lepidosauria,PTGER1,32
Testudines,PTGER1,15
Amphibia,PTGER1,22
Dipnomorpha,PTGER1,1
Coelacanthiformes,PTGER1,1
Actinopterygii,PTGER1,227
Chondrichthyes,PTGER1,15
Cyclostomata,PTGER1,0
Tunicata,PTGER1,0
Cephalochordata,PTGER1,0
Hemichordata,PTGER1,0
Echinodermata,PTGER1,0
Annelida,PTGER1,0
Mollusca,PTGER1,0
Arthropoda,PTGER1,0
Cnidaria,PTGER1,0
Placozoa,PTGER1,0
Mammalia,PTGER2,190
Archosauria,PTGER2,93
Lepidosauria,PTGER2,14
Testudines,PTGER2,11
Amphibia,PTGER2,11
Dipnomorpha,PTGER2,1
Coelacanthiformes,PTGER2,1
Actinopterygii,PTGER2,149
